tess,ra,dec,gaia_source_list,g_mag_list,ruwe,flux
25063215,[],[],[],[],[],[]
25063281,[],[],[],[],[],[]
25063296,"[60.06816733450804, 60.03217391009194, 60.058955598446886]","[-71.23163397416855, -71.23246268592902, -71.22966050528126]","[4665940496283406848, 4665940496283405824, 4665940496283406208]","[11.281767, 16.87696, 17.257433]","[0.9132897, 0.97983295, 0.89631116]","[578415.4828940706, 3343.1984975410755, 2354.905812781557]"
25063656,"[59.9532899988492, 59.94063852361616, 59.92671278813971]","[-70.07223557638738, -70.08015276136, -70.07523942840314]","[4666574532239285504, 4666574158577604096, 4666574158577590144]","[11.89598, 20.338415, 20.705996]","[1.0475904, 1.0672929, 0.9568749]","[328514.74533165386, 137.90530218270766, 98.29885662302824]"
